DATE,TICKER,SECTOR,PRICEOPEN,PRICEHIGH,PRICELOW,PRICECLOSE,VOLUME
4/1/21,AAPL,Information Technology,133.52,133.6116,126.76,129.41,143301900
5/1/21,AAPL,Information Technology,128.89,131.74,128.43,131.01,97664900
6/1/21,AAPL,Information Technology,127.72,131.0499,126.382,126.6,155088000
7/1/21,AAPL,Information Technology,128.36,131.63,127.86,130.92,109578200
8/1/21,AAPL,Information Technology,132.43,132.63,130.23,132.05,105158200
11/1/21,AAPL,Information Technology,129.19,130.17,128.5,128.98,100620900
12/1/21,AAPL,Information Technology,128.5,129.69,126.86,128.8,91951150
13/1/21,AAPL,Information Technology,128.76,131.45,128.49,130.89,88636830
14/1/21,AAPL,Information Technology,130.8,131,128.76,128.91,90221760
15/1/21,AAPL,Information Technology,128.78,130.2242,127,127.14,111598500
19/1/21,AAPL,Information Technology,127.78,128.71,126.938,127.83,90757330
20/1/21,AAPL,Information Technology,128.66,132.49,128.55,132.03,104319500
21/1/21,AAPL,Information Technology,133.8,139.67,133.59,136.87,120529500
22/1/21,AAPL,Information Technology,136.28,139.85,135.02,139.07,114459400
25/1/21,AAPL,Information Technology,143.07,145.09,136.54,142.92,157611700
26/1/21,AAPL,Information Technology,143.6,144.3,141.37,143.16,98390560
27/1/21,AAPL,Information Technology,143.43,144.3,140.41,142.06,140843800
28/1/21,AAPL,Information Technology,139.52,141.99,136.7,137.09,142621100
29/1/21,AAPL,Information Technology,135.83,136.74,130.21,131.96,177523800
1/2/21,AAPL,Information Technology,133.75,135.38,130.93,134.14,106239800
2/2/21,AAPL,Information Technology,135.73,136.31,134.61,134.99,83305370
3/2/21,AAPL,Information Technology,135.76,135.77,133.61,133.94,89880940
4/2/21,AAPL,Information Technology,136.3,137.4,134.59,137.39,84183060
5/2/21,AAPL,Information Technology,137.35,137.42,135.86,136.76,75693830
8/2/21,AAPL,Information Technology,136.03,136.96,134.92,136.91,71297210
9/2/21,AAPL,Information Technology,136.62,137.877,135.85,136.01,76774210
10/2/21,AAPL,Information Technology,136.48,136.99,134.4,135.39,73046560
11/2/21,AAPL,Information Technology,135.9,136.39,133.77,135.13,64280030
12/2/21,AAPL,Information Technology,134.35,135.53,133.6921,135.37,60145130
16/2/21,AAPL,Information Technology,135.49,136.01,132.79,133.19,80576320
17/2/21,AAPL,Information Technology,131.25,132.22,129.47,130.84,98085250
18/2/21,AAPL,Information Technology,129.2,129.995,127.41,129.71,96856750
19/2/21,AAPL,Information Technology,130.24,130.71,128.8,129.87,87668830
22/2/21,AAPL,Information Technology,128.01,129.72,125.6,126,103916400
23/2/21,AAPL,Information Technology,123.76,126.71,118.39,125.86,158273000
24/2/21,AAPL,Information Technology,124.94,125.56,122.23,125.35,111039900
25/2/21,AAPL,Information Technology,124.68,126.4585,120.54,120.99,148199500
26/2/21,AAPL,Information Technology,122.59,124.85,121.2,121.26,164560400
1/3/21,AAPL,Information Technology,123.75,127.93,122.79,127.79,116307900
2/3/21,AAPL,Information Technology,128.41,128.72,125.01,125.12,102260900
3/3/21,AAPL,Information Technology,124.81,125.71,121.84,122.06,112966300
4/3/21,AAPL,Information Technology,121.75,123.6,118.62,120.13,178155000
5/3/21,AAPL,Information Technology,120.98,121.935,117.57,121.42,153766600
8/3/21,AAPL,Information Technology,120.93,121,116.21,116.36,154376600
9/3/21,AAPL,Information Technology,119.03,122.06,118.79,121.085,129525800
10/3/21,AAPL,Information Technology,121.69,122.17,119.45,119.98,111943300
11/3/21,AAPL,Information Technology,122.54,123.21,121.26,121.96,103026500
12/3/21,AAPL,Information Technology,120.4,121.17,119.16,121.03,88105050
15/3/21,AAPL,Information Technology,121.41,124,120.42,123.99,92590560
16/3/21,AAPL,Information Technology,125.7,127.22,124.715,125.57,115227900
17/3/21,AAPL,Information Technology,124.05,125.8599,122.336,124.76,111932600
18/3/21,AAPL,Information Technology,122.88,123.18,120.32,120.53,121469800
19/3/21,AAPL,Information Technology,119.9,121.43,119.675,119.99,185549500
22/3/21,AAPL,Information Technology,120.33,123.87,120.26,123.39,111912300
23/3/21,AAPL,Information Technology,123.33,124.24,122.14,122.54,95467140
24/3/21,AAPL,Information Technology,122.82,122.9,120.065,120.09,88530490
25/3/21,AAPL,Information Technology,119.54,121.66,119,120.59,98844680
26/3/21,AAPL,Information Technology,120.35,121.48,118.92,121.21,94071230
29/3/21,AAPL,Information Technology,121.65,122.58,120.7299,121.39,80819200
30/3/21,AAPL,Information Technology,120.11,120.4031,118.86,119.9,85671920
31/3/21,AAPL,Information Technology,121.65,123.52,121.15,122.15,118323800
1/4/21,AAPL,Information Technology,123.66,124.18,122.49,123,75089130
5/4/21,AAPL,Information Technology,123.87,126.1601,123.07,125.9,88651180
6/4/21,AAPL,Information Technology,126.5,127.13,125.65,126.21,80171250
7/4/21,AAPL,Information Technology,125.83,127.92,125.14,127.9,83466720
8/4/21,AAPL,Information Technology,128.95,130.39,128.52,130.36,88844590
9/4/21,AAPL,Information Technology,129.8,133.04,129.47,132.995,106686700
12/4/21,AAPL,Information Technology,132.52,132.85,130.63,131.24,91419980
13/4/21,AAPL,Information Technology,132.44,134.66,131.93,134.43,91266550
14/4/21,AAPL,Information Technology,134.94,135,131.655,132.03,87222780
15/4/21,AAPL,Information Technology,133.82,135,133.64,134.5,89347100
16/4/21,AAPL,Information Technology,134.3,134.67,133.28,134.16,84922390
19/4/21,AAPL,Information Technology,133.51,135.47,133.34,134.84,94264220
20/4/21,AAPL,Information Technology,135.02,135.53,131.81,133.11,94812350
21/4/21,AAPL,Information Technology,132.36,133.75,131.3001,133.5,68847140
22/4/21,AAPL,Information Technology,133.04,134.15,131.41,131.94,84566460
23/4/21,AAPL,Information Technology,132.16,135.12,132.16,134.32,78756780
26/4/21,AAPL,Information Technology,134.83,135.06,133.56,134.72,66905070
27/4/21,AAPL,Information Technology,135.01,135.41,134.11,134.39,66015800
28/4/21,AAPL,Information Technology,134.31,135.02,133.08,133.58,107760100
